rank,term,doc_freq,raw_freq,adj_freq,methods,nonambiguous,informative,type,topic,role,notes,example
21,provision,77,1150,772,"spacy,textacy",1,informative,STATUTE-PROVISION,,RULE,,(6) Where there is an express legal bar engrafted in any of the provisions of the Code or the concerned Act (under which a criminal proceeding is instituted) to the institution and continuance of the proceedings and/or where there is a spec
22,time,90,909,738,spacy,0,non-informative,TEMPORAL,,,,The defence of accused Harjit Singh A1 as contained in his statement recorded under Section 313 Cr.P.C. is as under: He accepts his presence on the date and time of the incident.
23,right,81,1192,727,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,over the right side of the scalp 3 cms lateral and parallel to the anterior posterior mid-line of the scalp. 11.
24,constitution,54,786,715,"spacy,yake",1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"(1) , this court in the backdrop of interpretation of various relevant provisions of the Code of Criminal Procedure (for short, Cr.P.C.) under Chapter XIV and of the principles of law enunciated by this court in a series of decisions relati"
25,appeal,98,1524,709,"spacy,textacy",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,This appeal by three-convicted accused is being decided with Criminal Appeal No. 814 of 2001 preferred by the State of Punjab against the acquittal of other three accused in the same incident.
26,suit,50,933,696,"spacy,yake",1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"This civil appeal arises out of judgment and decree rendered by Karnataka High Court on 22.3.1999 filed under section 96 CPC against judgment and decree dated 11.10.1996 passed in O.S. No. 3656/81 on the file of City Civil Judge, Bangalore,"
27,application,66,860,645,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,In September 1994 an application was moved before the Naib Tehsildar for demarcation of the street.
28,regard,85,691,638,spacy,0,non-informative,ASPECT,,,,"Of course, no hard and fast rule can be laid down in regard to cases in which the High Court will exercise its extraordinary jurisdiction of quashing the proceedings at any stage."
29,rule,70,791,620,"rake,spacy,textacy,yake",1,informative,STATUTE-PROVISION,,RULE,,"The only rule relevant for our present purposes is rule 25, dealing with contracts."
30,judgment,100,967,616,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"These appeals arise out of the judgment of the High Court of Punjab and Haryana dated 27th November, 2000."
31,transfer,46,691,590,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"500/- (rupees five hundred) per each such share in addition to expenses of such transfer of shares pertaining to those shares only,"" 3."
32,decision,90,747,578,spacy,0,non-informative,ASPECT,,,,We shall first take up for decision Criminal Appeal No.
33,claim,78,735,574,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,"It was sufficient, for disposing of this claim, to deal with this aspect of the matter and the larger aspect of Oil and Natural Gas Commission being a public utility undertaking could be left out of account."
34,year,77,778,574,"rake,spacy,textacy,yake",0,non-informative,TEMPORAL,,,,"Appellant no.1 had been permanently residing with her husband at Navasari, Surat (Gujarat) for the last more than seven years."
35,land,63,1385,574,"spacy,yake",1,informative,PROPERTY-RES,,EVIDENCE,,"According to him the cause of the incident is long pending dispute regarding the piece of land on which the complainant party had stocked their wood and Harjit Singh And vs State Of Punjab on 16 August, 2002 thereby caused obstruction to th"
36,place,85,616,550,spacy,0,non-informative,ASPECT,,,,They reached near a circular road and at the place where their stock of wood was lying.
37,interest,71,738,544,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,It is also for the court to take into consideration any special features which appear in a particular case to consider whether it is expedient and in the interest of justice to permit a prosecution to continue.
38,use,68,622,543,spacy,0,non-informative,ASPECT,,,,"The three injuries as are found on his person in injury report on examination by Dr. Varinderjit Singh PW7 which include contusions and abrasions, are likely to have been caused by use of some blunt object."
39,power,54,1144,533,"spacy,textacy",1,informative,LEGAL-CONCEPT,,ISSUE,,Lord Salmon in Director of Public Prosecutions v. Humphrys [1977] AC 1 stressed the importance of the inherent power when he observed that it is only if the prosecution amounts to an abuse of the process of the court and is oppressive and v
40,matter,87,666,525,spacy,0,non-informative,ASPECT,,,,"In G. Sagar Suri & Another v. State of UP & Others , this court observed that it is the duty and obligation of the criminal court to exercise a great deal of caution in issuing the process particularly when matters are essentially of civil "
41,respect,76,518,507,spacy,0,non-informative,ASPECT,,,,it was almost impossible to work out the cost in respect of any particular area or of a particular bye-product; (iv) the cost plus basis was fixed by the Award several years ago and that too in the context of supply to certain State underta
42,record,72,545,499,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,There is nothing on record to disbelieve the version of the prosecution witnesses that three accused as members of the first party armed with lethal weapons came on the tractor and challenged the deceased who was asserting his right on piec
43,possession,52,670,491,"spacy,yake",1,informative,LEGAL-CONCEPT,POSSESSION,ISSUE,,"The suit was instituted by Iyengar Krishnamurthy S. Setlur Dead By Lrs vs O. V. Narasimha Setty & on 23 February, 2007 against K.S. Setlur and Shyamala Raju stating that they had unauthorisedly disturbed his possession."
44,clause,56,715,484,spacy,1,informative,STATUTE-PROVISION,,RULE,,"But the Oil and Natural Gas Commission being a State instrumentality, is bound to act reasonably in the matter of fixation of price; such price is bound to be determined by following any one of the modalities suggested in the judgment of th"
45,trial,51,563,482,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"Tarsem Singh (who died during the trial) was also charged for voluntarily causing hurt to Harjinder Singh (deceased) and thereby committed an offence under Section 323 read with Section 149, IPC."
46,dispute,100,516,456,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,To explain the nature of dispute over the piece of land he states that he is member of the Panchayat and with co-accused had approached the Gram Panchayat with a request that the path by which they approached their houses from the village b
47,word,61,573,453,spacy,0,non-informative,ASPECT,,,,Words and Phrases: 'Public utility'--'Reasonableness of rates' meaning of.
48,purpose,74,593,445,spacy,0,non-informative,ASPECT,,,,The eyewitness account given by Hari Singh (PW1) before the trial court is required to be stated in necessary details for the purpose of appreciating and weighing the prosecution case.
49,grant,70,465,430,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"Black's Law Dictionary (Fifth Edition) defines a ""public utility"" thus at p. 1108: ""Public Utility: A privately owned and operated business whose services are so essential to the general public as to justify the grant of special franchises "
50,plaintiff,31,463,428,"spacy,yake",1,informative,PARTY-ACTOR,,ACTOR,,"As only 251 bags were received at the destination, the plaintiff made a claim for the price of the 4 bags of coconuts by (1) Nag. 85. way of damages."
51,deal,63,444,419,spacy,0,non-informative,,,,,Paragraphs 26 and 27 deal with the use of the firm names.
52,premise,40,524,416,spacy,1,informative,PROPERTY-RES,,EVIDENCE,,"A provision in an ordinance granting a franchise to an electric light company, that the city should not require the company to make ""extensions"" except upon certain conditions does not affect the right of a resident in an established servic"
53,evidence,65,560,411,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,It is submitted that these three co-accused might have proceeded together on the tractor but it is not possible from that evidence and from their subsequent acts to infer that they had a common intention to commit murder of the deceased.
54,point,75,486,409,spacy,0,non-informative,ASPECT,,,,"Furthermore, the obligation of a public utility, such as a gas, water, or electric company, to supply a given district is inclusive of the duty, under reasonable limitations, to carry the mains or lines of the utility to a point on the cons"
55,term,74,551,406,spacy,0,non-informative,ASPECT,,,,"The courts are receiving a large number of cases emanating from section 498-A of the Indian Penal Code which reads as under:- ""498-A. Husband or relative of husband of a woman subjecting her to cruelty.--Whoever, being the husband or the re"
56,effect,72,489,391,spacy,0,non-informative,ASPECT,,,,"Inherent power under section 482 Cr.P.C. can be exercised: (i) to give effect to an order under the Code; (ii) to prevent abuse of the process of court, and (iii) to otherwise secure the ends of justice."
57,share,33,496,391,"spacy,yake",1,informative,LEGAL-CONCEPT,PARTITION,ISSUE,,"Increasingly, the share of the profits of public enterprises in financing the investment and maintenance expenditure of government must keep on increasing."
58,sale,37,645,389,spacy,1,informative,LEGAL-CONCEPT,SALE-CONTRACT,ISSUE,,"Functions of the Commission-- (1) Subject to the provisions of this Act, the functions of the Commission shall generally be to plan, promote, organise and implement programmes for the development of petroleum resources and the production an"
59,favour,66,392,387,"spacy,yake",0,non-informative,ASPECT,,,,"Aggrieved by the steady rise in the prices, the respondents Association of Natural Gas Consuming Industries and Others--moved the Bombay High Court in March 1979 by way of a writ petitionIn the petition it was, inter alia, prayed that the O"
60,notice,75,484,382,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"If any abuse of the process leading to injustice is brought to the notice of the court, then the Court would be justified in preventing injustice by invoking inherent powers in absence of specific provisions in the Statute."
61,limitation,36,406,382,"spacy,yake",1,informative,LEGAL-CONCEPT,PROCEDURE-REMEDY,ISSUE,,""" The second constraint is in regard to the rates that can be charged by such an undertaking: A public utility may, in the absence of a legislative prescription or limitation of rates, fix and exact reasonable rates for services furnished, "
62,member,44,478,378,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"All the six accused persons have been alleged to be members of an unlawful assembly and with common object alleged to have committed murder of Harjinder Singh (hereinafter referred to as the ""deceased"") on 15.10.1994 in Village Chhichrewal "
63,accord,72,380,375,spacy,0,non-informative,ASPECT,,,,This is in accord with healthy Indian tradition.
64,defendant,31,560,374,"spacy,yake",1,informative,PARTY-ACTOR,,ACTOR,,79/49 was for permanent injunction restraining the defendants from interfering with the possession of Iyengar (plaintiff).
65,contract,39,494,368,"spacy,textacy,yake",1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"Aggrieved by the steady rise in the prices, the respondents Association of Natural Gas Consuming Industries and Others--moved the Bombay High Court in March 1979 by way of a writ petitionIn the petition it was, inter alia, prayed that the O"
66,vs state,19,367,367,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Reddy HARI SAO AND Vs. STATE OF BIHAR 15/10/1969 MITTER, G.K. MITTER, G.K. SIKRI, S.M. REDDY, P. JAGANMOHAN CITATION: 1970 (2) 823 1969 (3) 107 ACT: Indian Railways Act (9 of 1890), ss. 73 and 74 and Goods Tariff General Rules, rr. 15 and 2"
67,ground,85,467,366,"spacy,yake",0,non-informative,ASPECT,,,,"Hari Singh (PW1) then stated that as he saw his son the deceased and Gurvinder Singh PW3 to have fallen on the ground due to injuries caused to them by the bullets fired by the accused, he fired from his own double barrel gun which hit accu"
68,report,54,548,366,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,Copy of the report of the Forensic Science Laboratory is Ex.
69,reason,79,453,360,spacy,0,non-informative,ASPECT,,,,"In our opinion, in site of infirmities in the prosecution case as highlighted above, the plea of self-defence is not available to the accused (A-1) for other reasons."
70,concern,69,401,355,spacy,0,non-informative,,,,,"At the same time, rapid increase in the number of genuine cases of dowry harassment are also a matter of serious concern."
71,firm,20,616,350,"spacy,textacy",1,informative,PARTY-ACTOR,,ACTOR,,In Dominion of India v. Firm Museram Kishunprasad(l) a a railway receipt was issued to the consignor qualified with the statement that the wagon was said to contain 255 bags of coconuts.
72,agreement,52,509,348,"rake,spacy,yake",1,informative,INSTRUMENT-EVIDENCE,SALE-CONTRACT,EVIDENCE,,"On this basis, an agreement was entered into between them in March, 1963 whereunder the price of fuel oil was fixed at Rs.77.26 per tonne including rail frieght; and, based on this price and thermal value equivalence, the price of Cambay ga"
73,union,38,580,348,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"premier Automobiles v. Union, [1972] 2 S.C.R. 526; Panipat Cooperative Sugar Mills v. Union, [1973] Oil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 2 S.C.R. 860; Shree Meenakshi Mills v. Union, "
74,tenant,26,632,341,"spacy,textacy,yake",1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,In his defence Raju stated that he was in possession for eight years; that he continued to be in possession; that Iyengar was collecting rents arising from the suit properties as a constituted attorney of K.S. Setlur; that on termination of
75,post,25,446,336,spacy,0,non-informative,,,,,"Pahar Singh r/o Village: Nayapura, Post: Ratanpur, Tehsil: Bagli, District: Devas, Madhya Pradesh."
76,supply,31,407,332,spacy,0,non-informative,,,,,"In July 1967, the supply of gas to some of the industries in and around Vadodara city was started, on the basis of individual annual contracts."
77,state government,31,332,332,"rake,spacy",1,informative,FORUM-AUTHORITY,,ACTOR,,"Under the above provision, the Board is under a statutory obligation to carry on its operations and adjust its tariffs in such a way to ensure that the total revenues earned in any year of account shall, after meeting all expenses chargeabl"
78,company,36,641,329,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Initially, the ONGC entered into contracts valid for a period of five years at a time but, subsequently--it is said, due to a fear of possible shortage in the availability of enough gas--this was changed and the contracts were, generally, m"
79,period,62,458,327,spacy,0,non-informative,TEMPORAL,,,,This award was to be enforced for a period of five years i.e. upto 31.3.1971.
80,landlord,18,378,323,"spacy,textacy",1,informative,PARTY-ACTOR,TENANCY-LEASE,ACTOR,,"He further alleged that after 1946, Shyamala Raju had considered him as the landlord."
81,officer,49,683,320,"spacy,textacy",1,informative,FORUM-AUTHORITY,,ACTOR,,"Rule 115 states as follows: ""Any dispute touching the business of a registered society (i) between members or past members of a society or persons claiming through a member or past member, (ii) or between a member or a past member or person"
82,circumstance,83,383,319,spacy,0,non-informative,ASPECT,,,,"It is on the above circumstances, improvements and omissions, in the statement of Hari Singh (PW-1) that the learned counsel appearing for the accused Harjit Singh (A-1) submits that plea of self-defence of the accused should be accepted by"
83,writ,43,331,319,spacy,1,informative,PROCEDURE-RELIEF,CONSTITUTIONAL,PROCEDURAL,,2) The appellant has filed this appeal against the final judgment and order dated 28.03.2011 passed by the High Court of Karnataka at Bangalore in a writ of Habeas Corpus being Writ Petition No. 220 of 2010 whereby the High Court dismissed 
84,trial court,38,316,316,"spacy,textacy,yake",1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"The three accused namely, Harjeet Singh, Varinderjit Singh and Gursharan Singh have been convicted under Sections 302, 307, 326, 324 and 323 read with Section 34 IPC and the sentences imposed on them by the trial court have been maintained."
85,behalf,72,323,315,spacy,0,non-informative,ASPECT,,,,"On behalf of the accused, Harjit Singh (A-1), the learned counsel severally criticized the reasoning of the High Court in rejecting his plea of self-defence."
86,september,48,321,315,spacy,0,non-informative,TEMPORAL,,,,In September 1994 an application was moved before the Naib Tehsildar for demarcation of the street.
87,april,36,317,315,spacy,0,non-informative,TEMPORAL,,,,"Between April 1971 and December 1975, the well-head price was increased and fixed at Rs.66 per unit, we are all told, on the intervention of the then Gujarat Governor."
88,code,47,517,314,"spacy,yake",1,informative,STATUTE-PROVISION,,RULE,,The main question which falls for consideration in this case is whether the High Court was justified in not exercising its inherent powers under section 482 of the Code of Criminal Procedure in the facts and circumstances of this case? 15.
89,account,61,478,308,"spacy,yake",0,non-informative,ASPECT,,,,"Explanation.--For the purposes of this section, `cruelty' means:- (a) any wilful conduct which is of such a nature as is likely to drive the woman to commit suicide or to cause grave injury or danger to life, limb or health (whether mental "
90,compensation,25,353,306,"rake,spacy",1,informative,MONETARY-VALUATION,LAND-ACQUISITION,EVIDENCE,,"It was also stated that in future if any of his brothers or legal representatives would make any claim or raise any dispute or the purchaser would be dispossessed, the seller would pay compensation, damages and costs to the buyer."
91,decree,39,530,303,spacy,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,If because of temperamental incompatibility they cannot live with each other then it is proper that they should jointly get a decree of divorce by mutual consent.
92,consideration,81,406,302,spacy,1,informative,MONETARY-VALUATION,,EVIDENCE,,We shall deal with that medical report at the appropriate stage when we take for consideration the part allegedly played in the incident by the convicted accused. 14.
93,authority,70,652,301,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,Authority of the court exists for the advancement of justice.
94,petitioner,34,340,300,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"However, the complainant in her statement made under solemn affirmation has stated that when she came to Ranchi on the occasion of Holi, all the accused persons came and passed sarcastic remarks which in absence of actual wordings, accordin"
95,contention,76,334,294,spacy,0,non-informative,ASPECT,,,,"When these appeals were filed a Bench of this Court, on 6.10.1983, continued the interim price of Rs. 1,000 per unit without prejudice to the rights and contentions of the parties and directed the appeals to be expedited."
96,learn counsel,61,294,294,spacy,1,informative,PARTY-ACTOR,,ACTOR,,"Learned counsel submits that the other three accused viz., Harjit Singh (A-1), Inderjit Singh (A-3) and Ajaib Singh (A-4) went to the spot after they had heard a commotion described as Raula or noise of fighting."
97,basis,60,446,292,spacy,0,non-informative,ASPECT,,,,"The High Court on the basis of Injury Report of the accused (A-1) inferred that as he had suffered serious injuries on his legs, he could not have fired in self-defence."
98,cost,79,398,291,spacy,0,non-informative,ASPECT,,,,"The appellant had agreed to supply this gas to the Gujarat State Electricity Board (GSEB) and the Gujarat State Fertiliser Corporation (GSFC) at a price related to fuel oil price on the basis of thermal value equivalence, without any refere"
99,opinion,84,345,288,spacy,0,non-informative,ASPECT,,,,In the opinion of the Autopsy Surgeon injuries 1 & 2 caused to abdomen communicated with each other.
100,order date,64,288,288,rake,0,non-informative,TEMPORAL,,,,
101,reference,60,323,287,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"And vs State Of Punjab on 16 August, 2002 vary depending not only on the injurious sequel but also on the part played and the circumstances present, making a personalized approach with reference to each."
102,award,32,360,287,"spacy,textacy",0,non-informative,,LAND-ACQUISITION,,,Public discontent over the alleged high price charged was expressed and eventually the dispute was referred to the sole arbitration of Dr. V.K.R.V. Rao who gave his award.
103,income,29,493,287,"spacy,yake",1,informative,MONETARY-VALUATION,,EVIDENCE,,"But the High Court on a reference at the instance of the assessee, held that the value of these goods could not be treated as revenue receipt because they `had been received by way of gift and in any event, even if they constituted revenue "
104,way,68,323,285,spacy,0,non-informative,ASPECT,,,,"According to the Autopsy Surgeon, Dr. Harpal Kaur (PW2), the following ante-mortem injuries were found on the person of the deceased:- 1) A punctured lacerated wound with inverted margins measuring 0.5 cms in diameter over left lumber regio"
105,statement,54,466,285,"spacy,yake",0,non-informative,ASPECT,,,,The defence of accused Harjit Singh A1 as contained in his statement recorded under Section 313 Cr.P.C. is as under: He accepts his presence on the date and time of the incident.
106,price,24,495,282,"spacy,textacy",1,informative,MONETARY-VALUATION,,EVIDENCE,,"The appellant had agreed to supply this gas to the Gujarat State Electricity Board (GSEB) and the Gujarat State Fertiliser Corporation (GSFC) at a price related to fuel oil price on the basis of thermal value equivalence, without any refere"
107,para,37,296,278,spacy,0,non-informative,CITATION-REF,,,,"This court in Madhavrao Jiwajirao Scindia & Others v. Sambhajirao Chandrojirao Angre & Others observed in para 7 as under: ""7."
108,offence,22,336,277,"spacy,yake",0,non-informative,,CRIMINAL,,,"Additional sessions Judge, Amritsar in Sessions Trial No. 1/95 convicted all the six accused for offences under Sections 302, 307, 323, 324, 326 read with Sections 148 & 149 IPC and sentenced them all to life imprisonment and separate sente"
109,proceeding,58,488,275,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,Hari Singh (PW1) was asked to sign the proceedings prepared by the Kanungo but he refused to sign it.
110,hand,66,289,272,spacy,0,non-informative,ASPECT,,,,His rushing towards the spot with revolver in his hand clearly indicates that he gone there to help the three other co-accused who had reached the spot before him on a tractor with weapons in their hands.
111,january,36,273,271,spacy,0,non-informative,TEMPORAL,,,,"The result is that, ever since January 1983 and till today, most of the petitioners have been paying for the gas supplied only at the rate of Rs. 1,000 per unit and some of the industries have defaulted even in doing this."
112,commission,34,598,271,spacy,1,informative,FORUM-AUTHORITY,,ACTOR,,"Even if the accused (A-1) was admitted in hospital, nothing prevented him or other co-accused from lodging a report of commission of offence by the members of the deceased party."
113,action,59,383,258,spacy,0,non-informative,ASPECT,,,,"Sharaful Haque & Another observed thus:- ""It would be an abuse of process of the court to allow any action which would result in injustice and prevent promotion of justice."
114,condition,55,376,257,spacy,0,non-informative,ASPECT,,,,"From the injury Report of Harjit Singh (A-1), it is pointed out that he was seriously injured and his condition was serious when he was admitted to the hospital."
115,document,42,330,253,spacy,1,informative,INSTRUMENT-EVIDENCE,,EVIDENCE,,The defendants contended that neither K.S. Setlur nor Shyamala Raju were in possession in 1946 and that documents of allotment were fictitious and never acted upon.
116,art,25,256,252,spacy,0,non-informative,CITATION-REF,,,,"50 of 1948), ss. 21 (4), 41 (1),42-Constitution of India, Art."
117,august,40,248,248,"spacy,yake",0,non-informative,TEMPORAL,,,,"And vs State Of Punjab on 16 August, 2002"
118,allotment,15,258,247,"spacy,yake",0,non-informative,,,,,The defendants contended that neither K.S. Setlur nor Shyamala Raju were in possession in 1946 and that documents of allotment were fictitious and never acted upon.
119,business,41,333,245,spacy,0,non-informative,ASPECT,,,,"Definition and nature A ""public utility"" is a business or service which is engaged in regularly supplying the public with some commodiOil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 ty or servic"
120,service,39,547,245,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,On behalf of the respondents it was contended that a public utility undertaking could not arbitrarily discontinue its supply or services merely because the customer was unwilling to pay the price asked for as unconscionable and unreasonable
121,policy,29,607,243,spacy,0,non-informative,ASPECT,,,,"Indeed, its policy of pricing should be based on the several factors peculiar to the industries and its current situation."
122,reservation,2,286,243,spacy,0,non-informative,,,,,"The line of reasoning of our learned Brother, Chinnappa Reddy, affords a satisfactory solution to this constitutional impasse, which we adopt without reservation of any kind."
123,income tax,18,238,238,"spacy,yake",1,informative,MONETARY-VALUATION,,EVIDENCE,,"Commissioner Of Income Tax, Patiala vs M/S. Groz Backert Saboo Ltd on 22 November, 1978 COURT 376, 1979 TAX."
124,writ petition,39,237,237,"spacy,textacy",1,informative,PROCEDURE-RELIEF,CONSTITUTIONAL,PROCEDURAL,,"The Judgment of the Court was delivered by RANGANATHAN, J. These are eleven appeals preferred by the Oil and Natural Gas Commission (ONGC, for short) from a judgment and order, dated 30th July, 1983, of a Division Bench of the High Court of"
125,tribunal,30,419,231,"spacy,yake",1,informative,FORUM-AUTHORITY,,ACTOR,,"It is of interest that in the second case, dealing with the question whether interest cannot be taken into account in working out profits, the Court observed, ( p. 235, para 5): 'The facile assumption by the Tribunal that the interest shoul"
126,appellate,83,321,229,spacy,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"227 of the Constitution, was not =powered to reverse the findings of the Industrial Court and the Labour Court because under that Article it could not Ahmedabad Mfg. & Calico Ptg. Co. Ltd vs Ram Tahel Ramnand & on 14 April, 1972 perform the"
127,principle,62,341,227,spacy,1,informative,LEGAL-CONCEPT,,ISSUE,,"(1) , this court in the backdrop of interpretation of various relevant provisions of the Code of Criminal Procedure (for short, Cr.P.C.) under Chapter XIV and of the principles of law enunciated by this court in a series of decisions relati"
128,division,39,281,227,spacy,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"The firm as such has no separate rights of its own in the partnership assets but it is the partners who own jointly in common the assets of the partnership and, therefore, the consequence of the distribution, division or allotment of assets"
129,base,57,245,226,spacy,0,non-informative,,,,,"Internal examination, however, showed that the deceased had sustained an internal injury to the temporal and occipital region under the scalp and a fracture on the base of the skull."
130,control,39,294,224,spacy,0,non-informative,ASPECT,,,,"But Parliament generally provides for interference only at a stage where in pursuance of social and economic objectives or to discharge duties under the Directive Principles of State Policy, control has to be exercised over the distribution"
131,area,40,665,223,spacy,0,non-informative,ASPECT,,,,It will transpose the area of controversy to a totally different and wider plane.
